Fertility,Magma_Series,Deposit,AUTHOR,Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,CA,Corrocohuayco,Chelle Michou et al,228575.6762,103203.8852,84944.65045,30815.13433,70039.69514,20030.15185,6641.182216,5693.757528,1161.686453,376,10.93,5.33,12.27,1.57,6.69,1.83,0.71,1.7,0.298,1.87,0.426,1.17,0.161,1.33,0.193
0,CA,Corrocohuayco,Chelle Michou et al,238485.2965,105162.1127,73075.6719,22553.54254,66323.30315,24184.55372,6890.226549,6412.969006,929.3491622,421,11.32,6.46,14.49,1.85,7.78,1.79,0.87,1.97,0.317,2.15,0.366,1.2,0.185,1.21,0.176
0,CA,Corrocohuayco,Chelle Michou et al,220909.7435,103627.2857,94408.80329,31659.38458,82117.96909,12982.50583,2324.413776,5753.691818,1626.361034,429,11.81,4.09,9.8,1.35,6.64,1.86,0.74,2.15,0.327,2.33,0.431,1.3,0.177,1.23,0.169
0,CA,Corrocohuayco,Chelle Michou et al,216702.8292,78858.35328,110544.4081,46916.19277,71540.54575,17730.39368,7886.403881,8151.063409,1394.023743,320,14.44,4.94,13.1,1.55,7.73,2.17,0.73,2.34,0.384,2.58,0.541,1.5,0.221,1.52,0.199
0,CA,Corrocohuayco,Chelle Michou et al,240074.5752,101139.8075,65007.86948,23578.70357,66180.365,33235.21493,2407.428553,6472.903295,697.0118717,491,18.76,6.43,16.02,2.23,11.2,3.11,0.95,3.41,0.493,3.23,0.712,1.87,0.319,2.04,0.301
0,CA,Corrocohuayco,Chelle Michou et al,238952.7314,96958.72699,80910.74924,25990.84715,66323.30315,23739.43924,6973.241327,5573.888949,1316.57798,381,18.99,8,18.14,2.35,10.96,2.99,1.02,3.31,0.512,3.84,0.738,2.01,0.295,1.99,0.302
0,CA,Corrocohuayco,Chelle Michou et al,243486.8501,93994.92311,80212.57403,27076.31177,64036.2927,20326.89485,6392.137883,5573.888949,1239.132216,345,19.81,7.55,17.93,2.39,11.19,2.96,1.02,3.43,0.52,3.81,0.726,1.94,0.324,2.09,0.317
0,CA,Corrocohuayco,Chelle Michou et al,229744.2635,101033.9573,88668.25157,25206.90049,68824.72083,23145.95325,5811.034439,5993.428977,1239.132216,428,17.84,6.27,15.08,2.08,10.4,2.74,0.96,3.38,0.502,3.34,0.693,1.76,0.257,1.8,0.269
0,CA,Corrocohuayco,Chelle Michou et al,241196.419,103944.8361,73230.82194,22975.66767,61391.93686,28709.88433,4648.827551,4914.611761,1316.57798,465,17.47,9.09,20.8,2.72,13.27,3.18,0.96,3.27,0.512,3.06,0.585,1.75,0.239,1.7,0.285
0,CA,Corrocohuayco,Chelle Michou et al,256294.567,101933.6835,47010.46409,21407.77434,64893.92162,33086.84343,5229.930995,4075.531704,619.5661082,416,17.71,7.42,15.53,2.3,10.72,3,1.08,3.2,0.548,3.56,0.725,1.89,0.275,1.8,0.245
0,CA,Corrocohuayco,Chelle Michou et al,278871.6736,94418.32366,48018.93939,17065.91588,47455.46691,35683.3446,4731.842329,3835.794545,464.6745811,325,20.87,7.96,18.02,2.56,12.09,3.18,0.91,3.45,0.496,3.47,0.731,2.18,0.332,2.29,0.336
0,CA,Corrocohuayco,Chelle Michou et al,303084.8025,90978.19416,25289.45758,6211.269737,16866.70209,41469.83291,29885.31997,2697.04304,232.3372906,686,11.54,15.22,31.59,3.87,16.5,3.41,0.82,2.64,0.378,1.89,0.375,1.03,0.163,1.18,0.216
1,CA,Corrocohuayco,Chelle Michou et al,304066.4159,92883.49665,26065.20781,6090.662558,19010.77439,39689.37497,26066.6402,2637.10875,309.7830541,804,11.78,15.42,31.68,3.94,15.92,3.27,0.79,2.64,0.332,2,0.404,1.15,0.139,1.23,0.173
1,CA,Corrocohuayco,Chelle Michou et al,295325.3828,89655.06742,34908.76046,9648.574349,25157.11499,39986.11796,22663.03431,3236.451648,309.7830541,794,15.46,16.91,34.23,4.25,17.63,3.51,0.85,3.07,0.436,2.89,0.546,1.6,0.247,1.58,0.264
1,CA,Corrocohuayco,Chelle Michou et al,292567.5168,90819.41895,34055.4352,9588.27076,25728.8676,39541.00348,26315.68453,3296.385937,309.7830541,772,14.19,15.44,32.86,4.08,16.72,3.56,0.91,2.8,0.456,2.47,0.543,1.39,0.222,1.43,0.211
1,CA,Corrocohuayco,Chelle Michou et al,305468.7206,91401.59471,25289.45758,5849.448199,21726.59931,40357.0467,25402.52198,2517.24017,387.2288176,835,10.79,14.08,29.38,3.44,14.58,3.03,0.74,2.18,0.316,1.75,0.384,1.07,0.171,1.15,0.183
1,CA,Corrocohuayco,Chelle Michou et al,293315.4127,91348.66964,32736.65981,9286.752811,24228.01699,38724.96025,25402.52198,3176.517358,464.6745811,664,15.63,17.57,35.55,4.48,18.2,3.46,0.92,3.26,0.431,2.51,0.535,1.57,0.261,1.74,0.24
